"Title","author","published","ISBN","price","image","category","category","category","category"
"Én Time l+II","Lillian Smith"," fra 1961 på forlaget Hasselbalch. 2 indb.bøger. 405sider","","20 kr","","Skønlitteratur"
"Den 13. uge","Sarah-Elizabeth Rodger"," fra 1961 på forlaget Hasselbalch. Indb. 271sider","","15 kr","","Skønlitteratur"
"Foråret kommer til Tyrsta","Margit Söderholm"," fra 1961 på forlaget Hasselbalch. Indb. 274sider","","15 kr","","Skønlitteratur"
"Fruen til Mellyn","Victoria Holt"," fra 1961 på forlaget Hasselbalch Indb. 264sider","","15 kr","","Skønlitteratur"
"Det Allerhelligste","J. Bech Nygaard"," fra 1961 på forlaget Hasselbalch Indb. 264sider","","20 kr","","Skønlitteratur"
"Fejltagelsen","Antonis Sameratis"," fra 1968 på forlaget Bogvenner. Hft. 149sider, illustreret","","20 kr","http://www.bogbasen.dk/images/3678684_125_125.jpg","Samfund & historie"
"Tjertopkhánovs endeligt - fortælling fra En Jægers Dagbog","Ivan Turgénev"," fra 1968 på forlaget Bogvenner. Hft. 149sider, illustreret","","20 kr","http://www.bogbasen.dk/images/3679020_125_125.jpg","Skønlitteratur"
"Verdens Litteraturhistorie - bind 10 - Århundredskiftet 1890-1920","Redaktion: F. J. Billeskov Jansen, Hakon Stangerup og P. H. Traustedt"," fra 1973 på forlaget Politiken","87-567-1537-4","20 kr","http://www.bogbasen.dk/images/3671476_125_125.jpg","Litteraturhistorie"
"Lykkelige Kristoffer","Martin A. Hansen"," fra 1961 på forlaget Gyldendal. INDB. 324sider","87-567-1537-4","20 kr","http://www.bogbasen.dk/images/3671476_125_125.jpg","Skønlitteratur"
"Fra Askepot til Anders And - Børnebogen i kulturhistorisk perspektiv","Vibeke Stybe","2. udgave fra 1970 på forlaget Munksgaard","8716000056","20 kr","http://www.bogbasen.dk/images/3671213_125_125.jpg","Litteraturvidenskab"
"Internationale Familie-Favoritter - en hel verden af opskrifter","Ron Kalenuik","2. udgave fra 1970 på forlaget Munksgaard","8716000056","30 kr","http://www.bogbasen.dk/images/3729473_125_125.jpg","Kogebøger","Mad & gastronomi"
"Købmand, købstad og Hanse - en konge og hans tid","Jørgen Jørgensen","1. udgave fra 1971 på forlaget Munksgaard","87-16-00394-2","10 kr","http://www.bogbasen.dk/images/3720751_125_125.jpg","Historie:Danmark"
"Sin egen Lykkes Smed - og De misbrugte Elskovsbreve","Gottfried Keller"," fra 1946 på forlaget Thanning & Appel","87-16-00394-2","20 kr","http://www.bogbasen.dk/images/3482180_125_125.jpg","Skønlitteratur"
"Kronprinsessen","Hanne Vibeke Holst"," fra 2003 på forlaget Gyldendal. Indb. 411sider. Fin stand","87-16-00394-2","30 kr","http://www.bogbasen.dk/images/3652606_125_125.jpg","Romaner","Skønlitteratur"
"EVA","St. St. Blicher"," fra 1945 på forlaget Flensted","87-16-00394-2","20 kr","http://www.bogbasen.dk/images/3261425_125_125.jpg","Skønlitteratur","Noveller"
"Samordning af indsatsen for unge - koordineret ungdomsrådgivning","Leif G. Lytken (red)"," fra 1986 på forlaget Socialstyrelsen","8750361082","20 kr","http://www.bogbasen.dk/images/3643919_125_125.jpg","Studiebøger"
"DRONNING GAASEFOD","Anatole France"," fra 1986 på forlaget Socialstyrelsen","8750361082","20 kr","http://www.bogbasen.dk/images/3733673_125_125.jpg","Skønlitteratur","Romaner"
"Et solstrejf i en stue i Skagen. Portræt af Anna Ancher","Margethe Loerges"," fra 1978 på forlaget Hernov","87-7215-871-9","20 kr","http://www.bogbasen.dk/images/3667597_125_125.jpg","Biografier"
"Støv og aske","Frederik Paludan"," fra 1978 på forlaget Thorsgaard. Hft. 49 sider. Illustr af Kirsten Drigsdahl","87-980422-3-8","10 kr","http://www.bogbasen.dk/images/3667597_125_125.jpg","Teologi"
"Jogoslavisk Parlør","Gunnar O. Svane"," fra 1962 på forlaget Borgens. Hæft. 76 siderm","87-980422-3-8","10 kr","http://www.bogbasen.dk/images/3737421_125_125.jpg","Studiebøger","Sprog"
"Dansk børnelærdom","Egon Clausen"," fra 1974 på forlaget Røde hane. Hft. 110 sider. Markeringer.","87-85095-230","10 kr","http://www.bogbasen.dk/images/3737421_125_125.jpg","Litteraturvidenskab","Studiebøger"
"Kriserum Fire. En SAS- Thriller","Andy McNab"," fra 2007 på forlaget Aschehoug. Indb. 366 sider","978-87-11-31510-1","30 kr","http://www.bogbasen.dk/images/3640310_125_125.jpg","Skønlitteratur"
"Impressionismen. Kunstens Ismer","Walter Schwartz"," fra 1956 på Politikens forlag. Indb.  62 sider. Illustr.","978-87-11-31510-1","15 kr","http://www.bogbasen.dk/images/3640310_125_125.jpg","Kunsthistorie"
"Naturfredninger i Midt- og Vestjylland. Viborg, Ringkøbing og Ribe amter","Knud Dahl"," fra 1966 på G. E. C. Gads forlag. Hft. 110 sider","978-87-11-31510-1","10 kr","http://www.bogbasen.dk/images/3640310_125_125.jpg","Natur"
"Naturfredninger i Østjylland. Randers, Århus, Skanderborg og Vejle amter","Knud Dahl"," fra 1967 på G. E. C. Gads forlag . Hft. 97 sider. Med vandskade","978-87-11-31510-1","10 kr","http://www.bogbasen.dk/images/3640310_125_125.jpg","Natur"
"Nationalmuseets Arbejdsmark. 2005","Nationalmuseet"," fra 2005 på forlaget Nationalmuseet. Indb. 223 sider","87-7602-047-9","30 kr","","Skønlitteratur","Historie:Danmark","Arkæologi"
"Naturfredninger I Vest- , Midt- og Sydsjælland. Holbæk, Sorø og Præstø amter.","Knud Dahl"," fra 1967 på G. E. C. Gads forlag. Hft. 113 sider","87-7602-047-9","10 kr","","Natur"
